team_code,team_name,placement,updated_at
MEX,Mexico,,2026-06-10T00:00:00Z
RSA,South Africa,,2026-06-10T00:00:00Z
KOR,Korea Republic,,2026-06-10T00:00:00Z
CZE,Czechia,,2026-06-10T00:00:00Z
CAN,Canada,,2026-06-10T00:00:00Z
BIH,Bosnia and Herzegovina,,2026-06-10T00:00:00Z
QAT,Qatar,,2026-06-10T00:00:00Z
SUI,Switzerland,,2026-06-10T00:00:00Z
BRA,Brazil,,2026-06-10T00:00:00Z
MAR,Morocco,,2026-06-10T00:00:00Z
HAI,Haiti,,2026-06-10T00:00:00Z
SCO,Scotland,,2026-06-10T00:00:00Z
USA,USA,,2026-06-10T00:00:00Z
PAR,Paraguay,,2026-06-10T00:00:00Z
AUS,Australia,,2026-06-10T00:00:00Z
TUR,Turkiye,,2026-06-10T00:00:00Z
CIV,Cote d'Ivoire,,2026-06-10T00:00:00Z
ECU,Ecuador,,2026-06-10T00:00:00Z
GER,Germany,,2026-06-10T00:00:00Z
CUW,Curacao,,2026-06-10T00:00:00Z
NED,Netherlands,,2026-06-10T00:00:00Z
JPN,Japan,,2026-06-10T00:00:00Z
SWE,Sweden,,2026-06-10T00:00:00Z
TUN,Tunisia,,2026-06-10T00:00:00Z
IRN,IR Iran,,2026-06-10T00:00:00Z
NZL,New Zealand,,2026-06-10T00:00:00Z
BEL,Belgium,,2026-06-10T00:00:00Z
EGY,Egypt,,2026-06-10T00:00:00Z
KSA,Saudi Arabia,,2026-06-10T00:00:00Z
URU,Uruguay,,2026-06-10T00:00:00Z
ESP,Spain,,2026-06-10T00:00:00Z
CPV,Cabo Verde,,2026-06-10T00:00:00Z
FRA,France,,2026-06-10T00:00:00Z
SEN,Senegal,,2026-06-10T00:00:00Z
IRQ,Iraq,,2026-06-10T00:00:00Z
NOR,Norway,,2026-06-10T00:00:00Z
ARG,Argentina,,2026-06-10T00:00:00Z
ALG,Algeria,,2026-06-10T00:00:00Z
AUT,Austria,,2026-06-10T00:00:00Z
JOR,Jordan,,2026-06-10T00:00:00Z
POR,Portugal,,2026-06-10T00:00:00Z
COD,Congo DR,,2026-06-10T00:00:00Z
UZB,Uzbekistan,,2026-06-10T00:00:00Z
COL,Colombia,,2026-06-10T00:00:00Z
GHA,Ghana,,2026-06-10T00:00:00Z
PAN,Panama,,2026-06-10T00:00:00Z
ENG,England,,2026-06-10T00:00:00Z
CRO,Croatia,,2026-06-10T00:00:00Z
